TERM,ACAD_CAREER,COURSE CODE,CLASS SECTION,CLASS NUMBER,F2F lecture in alternate weeks,START DATE,END DATE,MON,TUE,WED,THU,FRI,SAT,SUN,VENUE,START TIME,END TIME,COURSE TITLE,OFFER DEPT,INSTRUCTOR
2021-22 Sem 2,UGME,BBMS2003,2A,1958,,2022-02-10,2022-03-03,,,,THU,,,,CPD-2.16,13:30,14:20,Human Genetics,School of Biomedical Sciences,"Song,You-qiang; Tang,Sze Man; Yang,Wanling"
2021-22 Sem 2,UGME,BBMS2003,2A,1958,,2022-02-14,2022-02-14,MON,,,,,,,FMALT2,13:30,15:20,Human Genetics,School of Biomedical Sciences,"Song,You-qiang; Tang,Sze Man; Yang,Wanling"
2021-22 Sem 2,UGME,BBMS2003,2A,1958,,2022-02-21,2022-02-21,MON,,,,,,,HRI-S3,13:30,15:20,Human Genetics,School of Biomedical Sciences,"Song,You-qiang; Tang,Sze Man; Yang,Wanling"
2021-22 Sem 2,UGME,BBMS2003,2A,1958,,2022-02-28,2022-02-28,MON,,,,,,,FMMLT1,13:30,15:20,Human Genetics,School of Biomedical Sciences,"Song,You-qiang; Tang,Sze Man; Yang,Wanling"
2021-22 Sem 2,UGME,BBMS2003,2A,1958,,2022-03-14,2022-03-14,MON,,,,,,,FMALT2,13:30,15:20,Human Genetics,School of Biomedical Sciences,"Song,You-qiang; Tang,Sze Man; Yang,Wanling"
2021-22 Sem 2,UGME,BBMS2003,2A,1958,,2022-03-17,2022-04-28,,,,THU,,,,CPD-2.16,13:30,14:20,Human Genetics,School of Biomedical Sciences,"Song,You-qiang; Tang,Sze Man; Yang,Wanling"
2021-22 Sem 2,UGME,BBMS2003,2A,1958,,2022-03-21,2022-03-21,MON,,,,,,,ONLINE,13:30,15:20,Human Genetics,School of Biomedical Sciences,"Song,You-qiang; Tang,Sze Man; Yang,Wanling"
2021-22 Sem 2,UGME,BBMS2003,2A,1958,,2022-03-28,2022-03-28,MON,,,,,,,FMMLT1,13:30,15:20,Human Genetics,School of Biomedical Sciences,"Song,You-qiang; Tang,Sze Man; Yang,Wanling"
2021-22 Sem 2,UGME,BBMS2003,2A,1958,,2022-04-04,2022-04-04,MON,,,,,,,HRI-S3,13:30,15:20,Human Genetics,School of Biomedical Sciences,"Song,You-qiang; Tang,Sze Man; Yang,Wanling"
2021-22 Sem 2,UGME,BBMS2003,2A,1958,,2022-04-11,2022-04-11,MON,,,,,,,FMMLT1,13:30,15:20,Human Genetics,School of Biomedical Sciences,"Song,You-qiang; Tang,Sze Man; Yang,Wanling"
2021-22 Sem 2,UGME,BBMS2003,2A,1958,,2022-04-25,2022-04-25,MON,,,,,,,FMLG-19,13:30,15:20,Human Genetics,School of Biomedical Sciences,"Song,You-qiang; Tang,Sze Man; Yang,Wanling"
2021-22 Sem 2,UGME,BBMS2005,2A,2412,,2022-01-18,2022-01-25,,TUE,,,,,,TT404,09:30,11:20,Biomedical Pharmacology,School of Biomedical Sciences,"Leung,Pak Heng George; Wang,Yu; Woo,Wai Hong Connie; Xu,Aimin"
2021-22 Sem 2,UGME,BBMS2005,2A,2412,,2022-01-20,2022-01-27,,,,THU,,,,MB167,09:30,11:20,Biomedical Pharmacology,School of Biomedical Sciences,"Leung,Pak Heng George; Wang,Yu; Woo,Wai Hong Connie; Xu,Aimin"
2021-22 Sem 2,UGME,BBMS2005,2A,2412,,2022-02-08,2022-03-01,,TUE,,,,,,TT404,09:30,11:20,Biomedical Pharmacology,School of Biomedical Sciences,"Leung,Pak Heng George; Wang,Yu; Woo,Wai Hong Connie; Xu,Aimin"
2021-22 Sem 2,UGME,BBMS2005,2A,2412,,2022-02-10,2022-03-03,,,,THU,,,,MB167,09:30,11:20,Biomedical Pharmacology,School of Biomedical Sciences,"Leung,Pak Heng George; Wang,Yu; Woo,Wai Hong Connie; Xu,Aimin"
2021-22 Sem 2,UGME,BBMS2005,2A,2412,,2022-03-15,2022-03-29,,TUE,,,,,,TT404,09:30,11:20,Biomedical Pharmacology,School of Biomedical Sciences,"Leung,Pak Heng George; Wang,Yu; Woo,Wai Hong Connie; Xu,Aimin"
2021-22 Sem 2,UGME,BBMS2005,2A,2412,,2022-03-17,2022-04-14,,,,THU,,,,MB167,09:30,11:20,Biomedical Pharmacology,School of Biomedical Sciences,"Leung,Pak Heng George; Wang,Yu; Woo,Wai Hong Connie; Xu,Aimin"
2021-22 Sem 2,UGME,BBMS2005,2A,2412,,2022-04-12,2022-04-26,,TUE,,,,,,TT404,09:30,11:20,Biomedical Pharmacology,School of Biomedical Sciences,"Leung,Pak Heng George; Wang,Yu; Woo,Wai Hong Connie; Xu,Aimin"
2021-22 Sem 2,UGME,BBMS2005,2A,2412,,2022-04-21,2022-04-21,,,,THU,,,,LE6,09:30,11:20,Biomedical Pharmacology,School of Biomedical Sciences,"Leung,Pak Heng George; Wang,Yu; Woo,Wai Hong Connie; Xu,Aimin"
2021-22 Sem 2,UGME,BBMS2005,2A,2412,,2022-04-28,2022-04-28,,,,THU,,,,MB167,09:30,11:20,Biomedical Pharmacology,School of Biomedical Sciences,"Leung,Pak Heng George; Wang,Yu; Woo,Wai Hong Connie; Xu,Aimin"
2021-22 Sem 2,UGME,BBMS2008,2A,3481,,2022-01-18,2022-01-25,,TUE,,,,,,MWT7,11:30,13:20,Contemporary Topics in Biomedical Technology,School of Biomedical Sciences,"Ho,Joshua Wing Kei; Huen,Shing Yan Michael; Jauch,Ralf; Javed,Asif; Kotaka,Masayo; Ma,Kwai Yee Stephanie"
2021-22 Sem 2,UGME,BBMS2008,2A,3481,,2022-01-20,2022-01-27,,,,THU,,,,LE3,11:30,13:20,Contemporary Topics in Biomedical Technology,School of Biomedical Sciences,"Ho,Joshua Wing Kei; Huen,Shing Yan Michael; Jauch,Ralf; Javed,Asif; Kotaka,Masayo; Ma,Kwai Yee Stephanie"
2021-22 Sem 2,UGME,BBMS2008,2A,3481,,2022-02-08,2022-03-01,,TUE,,,,,,MWT7,11:30,13:20,Contemporary Topics in Biomedical Technology,School of Biomedical Sciences,"Ho,Joshua Wing Kei; Huen,Shing Yan Michael; Jauch,Ralf; Javed,Asif; Kotaka,Masayo; Ma,Kwai Yee Stephanie"
2021-22 Sem 2,UGME,BBMS2008,2A,3481,,2022-02-10,2022-03-03,,,,THU,,,,LE3,11:30,13:20,Contemporary Topics in Biomedical Technology,School of Biomedical Sciences,"Ho,Joshua Wing Kei; Huen,Shing Yan Michael; Jauch,Ralf; Javed,Asif; Kotaka,Masayo; Ma,Kwai Yee Stephanie"
2021-22 Sem 2,UGME,BBMS2008,2A,3481,,2022-03-15,2022-03-29,,TUE,,,,,,MWT7,11:30,13:20,Contemporary Topics in Biomedical Technology,School of Biomedical Sciences,"Ho,Joshua Wing Kei; Huen,Shing Yan Michael; Jauch,Ralf; Javed,Asif; Kotaka,Masayo; Ma,Kwai Yee Stephanie"
2021-22 Sem 2,UGME,BBMS2008,2A,3481,,2022-03-17,2022-04-28,,,,THU,,,,LE3,11:30,13:20,Contemporary Topics in Biomedical Technology,School of Biomedical Sciences,"Ho,Joshua Wing Kei; Huen,Shing Yan Michael; Jauch,Ralf; Javed,Asif; Kotaka,Masayo; Ma,Kwai Yee Stephanie"
2021-22 Sem 2,UGME,BBMS2008,2A,3481,,2022-04-12,2022-04-26,,TUE,,,,,,MWT7,11:30,13:20,Contemporary Topics in Biomedical Technology,School of Biomedical Sciences,"Ho,Joshua Wing Kei; Huen,Shing Yan Michael; Jauch,Ralf; Javed,Asif; Kotaka,Masayo; Ma,Kwai Yee Stephanie"
2021-22 Sem 2,UGME,BBMS2011,2A,3482,,2022-01-17,2022-01-24,MON,,,,,,,LE4,16:30,18:20,Research Methods in Medicine and Health Sciences,School of Biomedical Sciences,"Hon,Yee Lok; Kwok,Man Ki; Liao,Qiuyan; Tun,Hein Min; Zhao,Jie"
2021-22 Sem 2,UGME,BBMS2011,2A,3482,,2022-01-21,2022-01-28,,,,,FRI,,,LE5,14:30,16:20,Research Methods in Medicine and Health Sciences,School of Biomedical Sciences,"Hon,Yee Lok; Kwok,Man Ki; Liao,Qiuyan; Tun,Hein Min; Zhao,Jie"
2021-22 Sem 2,UGME,BBMS2011,2A,3482,,2022-01-21,2022-01-28,,,,,FRI,,,MWT4,14:30,16:20,Research Methods in Medicine and Health Sciences,School of Biomedical Sciences,"Hon,Yee Lok; Kwok,Man Ki; Liao,Qiuyan; Tun,Hein Min; Zhao,Jie"
2021-22 Sem 2,UGME,BBMS2011,2A,3482,,2022-01-21,2022-01-28,,,,,FRI,,,,14:30,16:20,Research Methods in Medicine and Health Sciences,School of Biomedical Sciences,"Hon,Yee Lok; Kwok,Man Ki; Liao,Qiuyan; Tun,Hein Min; Zhao,Jie"
2021-22 Sem 2,UGME,BBMS2011,2A,3482,,2022-02-11,2022-03-04,,,,,FRI,,,MWT4,14:30,16:20,Research Methods in Medicine and Health Sciences,School of Biomedical Sciences,"Hon,Yee Lok; Kwok,Man Ki; Liao,Qiuyan; Tun,Hein Min; Zhao,Jie"
2021-22 Sem 2,UGME,BBMS2011,2A,3482,,2022-02-11,2022-03-04,,,,,FRI,,,,14:30,16:20,Research Methods in Medicine and Health Sciences,School of Biomedical Sciences,"Hon,Yee Lok; Kwok,Man Ki; Liao,Qiuyan; Tun,Hein Min; Zhao,Jie"
2021-22 Sem 2,UGME,BBMS2011,2A,3482,,2022-02-11,2022-04-08,,,,,FRI,,,LE5,14:30,16:20,Research Methods in Medicine and Health Sciences,School of Biomedical Sciences,"Hon,Yee Lok; Kwok,Man Ki; Liao,Qiuyan; Tun,Hein Min; Zhao,Jie"
2021-22 Sem 2,UGME,BBMS2011,2A,3482,,2022-02-14,2022-04-11,MON,,,,,,,LE4,16:30,18:20,Research Methods in Medicine and Health Sciences,School of Biomedical Sciences,"Hon,Yee Lok; Kwok,Man Ki; Liao,Qiuyan; Tun,Hein Min; Zhao,Jie"
2021-22 Sem 2,UGME,BBMS2011,2A,3482,,2022-03-18,2022-04-08,,,,,FRI,,,MWT4,14:30,16:20,Research Methods in Medicine and Health Sciences,School of Biomedical Sciences,"Hon,Yee Lok; Kwok,Man Ki; Liao,Qiuyan; Tun,Hein Min; Zhao,Jie"
2021-22 Sem 2,UGME,BBMS2011,2A,3482,,2022-03-18,2022-04-08,,,,,FRI,,,,14:30,16:20,Research Methods in Medicine and Health Sciences,School of Biomedical Sciences,"Hon,Yee Lok; Kwok,Man Ki; Liao,Qiuyan; Tun,Hein Min; Zhao,Jie"
2021-22 Sem 2,UGME,BBMS2011,2A,3482,,2022-04-22,2022-04-29,,,,,FRI,,,LE5,14:30,16:20,Research Methods in Medicine and Health Sciences,School of Biomedical Sciences,"Hon,Yee Lok; Kwok,Man Ki; Liao,Qiuyan; Tun,Hein Min; Zhao,Jie"
2021-22 Sem 2,UGME,BBMS2011,2A,3482,,2022-04-22,2022-04-29,,,,,FRI,,,MWT4,14:30,16:20,Research Methods in Medicine and Health Sciences,School of Biomedical Sciences,"Hon,Yee Lok; Kwok,Man Ki; Liao,Qiuyan; Tun,Hein Min; Zhao,Jie"
2021-22 Sem 2,UGME,BBMS2011,2A,3482,,2022-04-22,2022-04-29,,,,,FRI,,,,14:30,16:20,Research Methods in Medicine and Health Sciences,School of Biomedical Sciences,"Hon,Yee Lok; Kwok,Man Ki; Liao,Qiuyan; Tun,Hein Min; Zhao,Jie"
2021-22 Sem 2,UGME,BBMS2011,2A,3482,,2022-04-25,2022-04-25,MON,,,,,,,LE4,16:30,18:20,Research Methods in Medicine and Health Sciences,School of Biomedical Sciences,"Hon,Yee Lok; Kwok,Man Ki; Liao,Qiuyan; Tun,Hein Min; Zhao,Jie"
2021-22 Sem 2,UGME,BBMS3003,2A,1959,,2022-01-18,2022-01-25,,TUE,,,,,,MB121,14:30,16:20,Mechanisms and Pathology of Diseases,School of Biomedical Sciences,"Au Yeung,Kwok Him Rex; Beh,Swan Lip; Chan,Sau Fong Vera; Khoo,Ui Soon; Kwok,Siu Yin Janette; Lo,Cheuk Lam Regina; Ng,Oi Lin Irene; Nicholls,John Malcolm; Sin,Chun Fung; Tang,Hin Ning Alexander; Wong,Pik Maria; Yung,Sou Ying Susan"
2021-22 Sem 2,UGME,BBMS3003,2A,1959,,2022-01-21,2022-01-28,,,,,FRI,,,MB122,14:30,16:20,Mechanisms and Pathology of Diseases,School of Biomedical Sciences,"Au Yeung,Kwok Him Rex; Beh,Swan Lip; Chan,Sau Fong Vera; Khoo,Ui Soon; Kwok,Siu Yin Janette; Lo,Cheuk Lam Regina; Ng,Oi Lin Irene; Nicholls,John Malcolm; Sin,Chun Fung; Tang,Hin Ning Alexander; Wong,Pik Maria; Yung,Sou Ying Susan"
2021-22 Sem 2,UGME,BBMS3003,2A,1959,,2022-02-08,2022-03-01,,TUE,,,,,,MB121,14:30,16:20,Mechanisms and Pathology of Diseases,School of Biomedical Sciences,"Au Yeung,Kwok Him Rex; Beh,Swan Lip; Chan,Sau Fong Vera; Khoo,Ui Soon; Kwok,Siu Yin Janette; Lo,Cheuk Lam Regina; Ng,Oi Lin Irene; Nicholls,John Malcolm; Sin,Chun Fung; Tang,Hin Ning Alexander; Wong,Pik Maria; Yung,Sou Ying Susan"
2021-22 Sem 2,UGME,BBMS3003,2A,1959,,2022-02-11,2022-03-04,,,,,FRI,,,MB122,14:30,16:20,Mechanisms and Pathology of Diseases,School of Biomedical Sciences,"Au Yeung,Kwok Him Rex; Beh,Swan Lip; Chan,Sau Fong Vera; Khoo,Ui Soon; Kwok,Siu Yin Janette; Lo,Cheuk Lam Regina; Ng,Oi Lin Irene; Nicholls,John Malcolm; Sin,Chun Fung; Tang,Hin Ning Alexander; Wong,Pik Maria; Yung,Sou Ying Susan"
2021-22 Sem 2,UGME,BBMS3003,2A,1959,,2022-03-15,2022-03-29,,TUE,,,,,,MB121,14:30,16:20,Mechanisms and Pathology of Diseases,School of Biomedical Sciences,"Au Yeung,Kwok Him Rex; Beh,Swan Lip; Chan,Sau Fong Vera; Khoo,Ui Soon; Kwok,Siu Yin Janette; Lo,Cheuk Lam Regina; Ng,Oi Lin Irene; Nicholls,John Malcolm; Sin,Chun Fung; Tang,Hin Ning Alexander; Wong,Pik Maria; Yung,Sou Ying Susan"
2021-22 Sem 2,UGME,BBMS3003,2A,1959,,2022-03-18,2022-04-08,,,,,FRI,,,MB122,14:30,16:20,Mechanisms and Pathology of Diseases,School of Biomedical Sciences,"Au Yeung,Kwok Him Rex; Beh,Swan Lip; Chan,Sau Fong Vera; Khoo,Ui Soon; Kwok,Siu Yin Janette; Lo,Cheuk Lam Regina; Ng,Oi Lin Irene; Nicholls,John Malcolm; Sin,Chun Fung; Tang,Hin Ning Alexander; Wong,Pik Maria; Yung,Sou Ying Susan"
2021-22 Sem 2,UGME,BBMS3003,2A,1959,,2022-04-12,2022-04-26,,TUE,,,,,,MB121,14:30,16:20,Mechanisms and Pathology of Diseases,School of Biomedical Sciences,"Au Yeung,Kwok Him Rex; Beh,Swan Lip; Chan,Sau Fong Vera; Khoo,Ui Soon; Kwok,Siu Yin Janette; Lo,Cheuk Lam Regina; Ng,Oi Lin Irene; Nicholls,John Malcolm; Sin,Chun Fung; Tang,Hin Ning Alexander; Wong,Pik Maria; Yung,Sou Ying Susan"
2021-22 Sem 2,UGME,BBMS3003,2A,1959,,2022-04-22,2022-04-29,,,,,FRI,,,MB122,14:30,16:20,Mechanisms and Pathology of Diseases,School of Biomedical Sciences,"Au Yeung,Kwok Him Rex; Beh,Swan Lip; Chan,Sau Fong Vera; Khoo,Ui Soon; Kwok,Siu Yin Janette; Lo,Cheuk Lam Regina; Ng,Oi Lin Irene; Nicholls,John Malcolm; Sin,Chun Fung; Tang,Hin Ning Alexander; Wong,Pik Maria; Yung,Sou Ying Susan"
2021-22 Sem 2,UGME,BBMS3004,2A,1956,,2022-01-19,2022-01-26,,,WED,,,,,QT 2-019,14:30,18:20,Molecular Diagnostics Laboratory,School of Biomedical Sciences,"Au Yeung,Kwok Him Rex; Chan,Sau Fong Vera; Chung,Hon Yin Brian; Ho,Wen Ying Joanna; Khoo,Ui Soon; Lam,Ka Wai; Lo,Cheuk Lam Regina; Mak,Christopher Chun Yu; Sin,Chun Fung; Tang,Hin Ning Alexander; Wong,Pik Maria; Yam,Wai Ping Judy"
2021-22 Sem 2,UGME,BBMS3004,2A,1956,,2022-01-26,2022-01-26,,,WED,,,,,FMLG-19,14:30,17:20,Molecular Diagnostics Laboratory,School of Biomedical Sciences,"Au Yeung,Kwok Him Rex; Chan,Sau Fong Vera; Chung,Hon Yin Brian; Ho,Wen Ying Joanna; Khoo,Ui Soon; Lam,Ka Wai; Lo,Cheuk Lam Regina; Mak,Christopher Chun Yu; Sin,Chun Fung; Tang,Hin Ning Alexander; Wong,Pik Maria; Yam,Wai Ping Judy"
2021-22 Sem 2,UGME,BBMS3004,2A,1956,,2022-02-09,2022-03-02,,,WED,,,,,QT 2-019,14:30,18:20,Molecular Diagnostics Laboratory,School of Biomedical Sciences,"Au Yeung,Kwok Him Rex; Chan,Sau Fong Vera; Chung,Hon Yin Brian; Ho,Wen Ying Joanna; Khoo,Ui Soon; Lam,Ka Wai; Lo,Cheuk Lam Regina; Mak,Christopher Chun Yu; Sin,Chun Fung; Tang,Hin Ning Alexander; Wong,Pik Maria; Yam,Wai Ping Judy"
2021-22 Sem 2,UGME,BBMS3004,2A,1956,,2022-03-23,2022-04-27,,,WED,,,,,QT 2-019,14:30,18:20,Molecular Diagnostics Laboratory,School of Biomedical Sciences,"Au Yeung,Kwok Him Rex; Chan,Sau Fong Vera; Chung,Hon Yin Brian; Ho,Wen Ying Joanna; Khoo,Ui Soon; Lam,Ka Wai; Lo,Cheuk Lam Regina; Mak,Christopher Chun Yu; Sin,Chun Fung; Tang,Hin Ning Alexander; Wong,Pik Maria; Yam,Wai Ping Judy"
2021-22 Sem 2,UGME,BBMS3004,2A,1956,,2022-04-06,2022-04-20,,,WED,,,,,FMLG-19,14:30,17:20,Molecular Diagnostics Laboratory,School of Biomedical Sciences,"Au Yeung,Kwok Him Rex; Chan,Sau Fong Vera; Chung,Hon Yin Brian; Ho,Wen Ying Joanna; Khoo,Ui Soon; Lam,Ka Wai; Lo,Cheuk Lam Regina; Mak,Christopher Chun Yu; Sin,Chun Fung; Tang,Hin Ning Alexander; Wong,Pik Maria; Yam,Wai Ping Judy"
2021-22 Sem 2,UGME,BBMS3005,2A,1960,,2022-01-18,2022-01-25,,TUE,,,,,,MB122,09:30,11:20,Infection and Immunity,School of Biomedical Sciences,"Chen,Honglin; Chen,Zhiwei; Kok,Kin Hang; Liu,Li; Yuan,Shuofeng"
2021-22 Sem 2,UGME,BBMS3005,2A,1960,,2022-01-20,2022-01-27,,,,THU,,,,MB122,14:30,17:20,Infection and Immunity,School of Biomedical Sciences,"Chen,Honglin; Chen,Zhiwei; Kok,Kin Hang; Liu,Li; Yuan,Shuofeng"
2021-22 Sem 2,UGME,BBMS3005,2A,1960,,2022-02-08,2022-03-01,,TUE,,,,,,MB122,09:30,11:20,Infection and Immunity,School of Biomedical Sciences,"Chen,Honglin; Chen,Zhiwei; Kok,Kin Hang; Liu,Li; Yuan,Shuofeng"
2021-22 Sem 2,UGME,BBMS3005,2A,1960,,2022-02-10,2022-03-03,,,,THU,,,,MB122,14:30,17:20,Infection and Immunity,School of Biomedical Sciences,"Chen,Honglin; Chen,Zhiwei; Kok,Kin Hang; Liu,Li; Yuan,Shuofeng"
2021-22 Sem 2,UGME,BBMS3005,2A,1960,,2022-03-15,2022-03-29,,TUE,,,,,,MB122,09:30,11:20,Infection and Immunity,School of Biomedical Sciences,"Chen,Honglin; Chen,Zhiwei; Kok,Kin Hang; Liu,Li; Yuan,Shuofeng"
2021-22 Sem 2,UGME,BBMS3005,2A,1960,,2022-03-17,2022-04-28,,,,THU,,,,MB122,14:30,17:20,Infection and Immunity,School of Biomedical Sciences,"Chen,Honglin; Chen,Zhiwei; Kok,Kin Hang; Liu,Li; Yuan,Shuofeng"
2021-22 Sem 2,UGME,BBMS3005,2A,1960,,2022-04-12,2022-04-26,,TUE,,,,,,MB122,09:30,11:20,Infection and Immunity,School of Biomedical Sciences,"Chen,Honglin; Chen,Zhiwei; Kok,Kin Hang; Liu,Li; Yuan,Shuofeng"
2021-22 Sem 2,UGME,BBMS3007,2A,1961,,2022-01-17,2022-01-24,MON,,,,,,,CPD-1.21,14:30,17:20,Cancer Biology,School of Biomedical Sciences,"Cheung,Wai Ting Lydia; Ching,Yick Pang; Huen,Shing Yan Michael; Lee,Ho Fun Victor; Ling,Guang Sheng Heidi; Ma,Kwai Yee Stephanie; Wong,Chak Lui Carmen; Yu,Cheng-Han"
2021-22 Sem 2,UGME,BBMS3007,2A,1961,,2022-01-20,2022-01-27,,,,THU,,,,MB151,12:30,14:20,Cancer Biology,School of Biomedical Sciences,"Cheung,Wai Ting Lydia; Ching,Yick Pang; Huen,Shing Yan Michael; Lee,Ho Fun Victor; Ling,Guang Sheng Heidi; Ma,Kwai Yee Stephanie; Wong,Chak Lui Carmen; Yu,Cheng-Han"
2021-22 Sem 2,UGME,BBMS3007,2A,1961,,2022-02-07,2022-02-28,MON,,,,,,,CPD-1.21,14:30,17:20,Cancer Biology,School of Biomedical Sciences,"Cheung,Wai Ting Lydia; Ching,Yick Pang; Huen,Shing Yan Michael; Lee,Ho Fun Victor; Ling,Guang Sheng Heidi; Ma,Kwai Yee Stephanie; Wong,Chak Lui Carmen; Yu,Cheng-Han"
