TERM,ACAD_CAREER,COURSE CODE,CLASS SECTION,CLASS NUMBER,F2F lecture in alternate weeks,START DATE,END DATE,MON,TUE,WED,THU,FRI,SAT,SUN,VENUE,START TIME,END TIME,COURSE TITLE,OFFER DEPT,INSTRUCTOR
2021-22 Sem 2,UGME,BBMS1001,2A,1954,,2022-01-18,2022-01-25,,TUE,,,,,,MWT7,09:30,11:20,Introduction to Human Anatomy and Physiology,School of Biomedical Sciences,"Cheung,Chi Hang Martin; Ching,Yick Pang; Chu,Yan Shuen Jessica; Fung,Man Lung; Hao,Quan; Lee,Chi Wai; Lim,Lee Wei; Ma,Chun Wai"
2021-22 Sem 2,UGME,BBMS1001,2A,1954,,2022-01-21,2022-01-28,,,,,FRI,,,CYPP3,14:30,17:20,Introduction to Human Anatomy and Physiology,School of Biomedical Sciences,"Cheung,Chi Hang Martin; Ching,Yick Pang; Chu,Yan Shuen Jessica; Fung,Man Lung; Hao,Quan; Lee,Chi Wai; Lim,Lee Wei; Ma,Chun Wai"
2021-22 Sem 2,UGME,BBMS1001,2A,1954,,2022-02-08,2022-02-08,,TUE,,,,,,FMLMDL1,09:30,11:20,Introduction to Human Anatomy and Physiology,School of Biomedical Sciences,"Cheung,Chi Hang Martin; Ching,Yick Pang; Chu,Yan Shuen Jessica; Fung,Man Lung; Hao,Quan; Lee,Chi Wai; Lim,Lee Wei; Ma,Chun Wai"
2021-22 Sem 2,UGME,BBMS1001,2A,1954,,2022-02-08,2022-03-01,,TUE,,,,,,MWT7,09:30,11:20,Introduction to Human Anatomy and Physiology,School of Biomedical Sciences,"Cheung,Chi Hang Martin; Ching,Yick Pang; Chu,Yan Shuen Jessica; Fung,Man Lung; Hao,Quan; Lee,Chi Wai; Lim,Lee Wei; Ma,Chun Wai"
2021-22 Sem 2,UGME,BBMS1001,2A,1954,,2022-02-11,2022-03-04,,,,,FRI,,,CYPP3,14:30,17:20,Introduction to Human Anatomy and Physiology,School of Biomedical Sciences,"Cheung,Chi Hang Martin; Ching,Yick Pang; Chu,Yan Shuen Jessica; Fung,Man Lung; Hao,Quan; Lee,Chi Wai; Lim,Lee Wei; Ma,Chun Wai"
2021-22 Sem 2,UGME,BBMS1001,2A,1954,,2022-02-25,2022-02-25,,,,,FRI,,,FMLMDL1,14:30,16:20,Introduction to Human Anatomy and Physiology,School of Biomedical Sciences,"Cheung,Chi Hang Martin; Ching,Yick Pang; Chu,Yan Shuen Jessica; Fung,Man Lung; Hao,Quan; Lee,Chi Wai; Lim,Lee Wei; Ma,Chun Wai"
2021-22 Sem 2,UGME,BBMS1001,2A,1954,,2022-03-15,2022-03-29,,TUE,,,,,,MWT7,09:30,11:20,Introduction to Human Anatomy and Physiology,School of Biomedical Sciences,"Cheung,Chi Hang Martin; Ching,Yick Pang; Chu,Yan Shuen Jessica; Fung,Man Lung; Hao,Quan; Lee,Chi Wai; Lim,Lee Wei; Ma,Chun Wai"
2021-22 Sem 2,UGME,BBMS1001,2A,1954,,2022-03-18,2022-04-08,,,,,FRI,,,CYPP3,14:30,17:20,Introduction to Human Anatomy and Physiology,School of Biomedical Sciences,"Cheung,Chi Hang Martin; Ching,Yick Pang; Chu,Yan Shuen Jessica; Fung,Man Lung; Hao,Quan; Lee,Chi Wai; Lim,Lee Wei; Ma,Chun Wai"
2021-22 Sem 2,UGME,BBMS1001,2A,1954,,2022-04-12,2022-04-26,,TUE,,,,,,MWT7,09:30,11:20,Introduction to Human Anatomy and Physiology,School of Biomedical Sciences,"Cheung,Chi Hang Martin; Ching,Yick Pang; Chu,Yan Shuen Jessica; Fung,Man Lung; Hao,Quan; Lee,Chi Wai; Lim,Lee Wei; Ma,Chun Wai"
2021-22 Sem 2,UGME,BBMS1001,2A,1954,,2022-04-22,2022-04-29,,,,,FRI,,,CYPP3,14:30,17:20,Introduction to Human Anatomy and Physiology,School of Biomedical Sciences,"Cheung,Chi Hang Martin; Ching,Yick Pang; Chu,Yan Shuen Jessica; Fung,Man Lung; Hao,Quan; Lee,Chi Wai; Lim,Lee Wei; Ma,Chun Wai"
2021-22 Sem 2,UGME,BBMS2001,2A,1955,,2022-01-17,2022-02-28,MON,,,,,,,FMLG-20,09:30,12:20,Basic Biomedical Laboratory Techniques,School of Biomedical Sciences,"Wong,Choi Wah Brian"
2021-22 Sem 2,UGME,BBMS2001,2A,1955,,2022-01-18,2022-01-25,,TUE,,,,,,FMLG-20,13:30,16:20,Basic Biomedical Laboratory Techniques,School of Biomedical Sciences,"Wong,Choi Wah Brian"
2021-22 Sem 2,UGME,BBMS2001,2A,1955,,2022-02-08,2022-03-01,,TUE,,,,,,FMLG-20,13:30,16:20,Basic Biomedical Laboratory Techniques,School of Biomedical Sciences,"Wong,Choi Wah Brian"
2021-22 Sem 2,UGME,BBMS2001,2A,1955,,2022-03-14,2022-04-11,MON,,,,,,,FMLG-20,09:30,12:20,Basic Biomedical Laboratory Techniques,School of Biomedical Sciences,"Wong,Choi Wah Brian"
2021-22 Sem 2,UGME,BBMS2001,2A,1955,,2022-03-15,2022-03-29,,TUE,,,,,,FMLG-20,13:30,16:20,Basic Biomedical Laboratory Techniques,School of Biomedical Sciences,"Wong,Choi Wah Brian"
2021-22 Sem 2,UGME,BBMS2001,2A,1955,,2022-04-12,2022-04-26,,TUE,,,,,,FMLG-20,13:30,16:20,Basic Biomedical Laboratory Techniques,School of Biomedical Sciences,"Wong,Choi Wah Brian"
2021-22 Sem 2,UGME,BBMS2001,2A,1955,,2022-04-25,2022-04-25,MON,,,,,,,FMLG-20,09:30,12:20,Basic Biomedical Laboratory Techniques,School of Biomedical Sciences,"Wong,Choi Wah Brian"
2021-22 Sem 2,UGME,BBMS2003,2A,1958,,2022-01-17,2022-01-24,MON,,,,,,,FMMLT1,13:30,15:20,Human Genetics,School of Biomedical Sciences,"Song,You-qiang; Tang,Sze Man; Yang,Wanling"
2021-22 Sem 2,UGME,BBMS2003,2A,1958,,2022-01-20,2022-01-27,,,,THU,,,,CPD-2.16,13:30,14:20,Human Genetics,School of Biomedical Sciences,"Song,You-qiang; Tang,Sze Man; Yang,Wanling"
